"content","original_id","from","date_created","sentiment","original_sentiment"
"#onlineonly #diskon Mandiri Card Promo Belanja Online - Diskon Hingga Rp. 170.000","662098640173969408","GilaPromoDotCom","2015-11-05 09:46:31","",""
"#diskon Jrep Clothing Promo Soft Opening - Diskon 20% - Jrep Clothing kini hadir di Lombok Epicentrum Mall lho","662064188928471047","GilaPromoDotCom","2015-11-05 07:29:37","",""
"#diskon Elevenia Special Offers - Diskon Rp. 100.000 - Cukup dengan bertransaksi minimal Rp. 1.000.000 di","662064188840394752","GilaPromoDotCom","2015-11-05 07:29:37","",""
"#diskon Dominos Pizza Promo Spesial Add On - Diskon 64% - Makan seru sepuasnya bareng teman di Dominos Pizza","662064188588744704","GilaPromoDotCom","2015-11-05 07:29:37","",""
"#diskon Lazada Super Selasa - Diskon hingga 50% + Xtra Diskon Rp 300.000","662064188408406017","GilaPromoDotCom","2015-11-05 07:29:37","",""
"#diskon Erafone Xiaomi Great Deal - Harga Spesial Rp. 2.949.000","662064188408397824","GilaPromoDotCom","2015-11-05 07:29:37","",""
"#indonesia #diskon Air Asia Indomaret Special Deal - Gratis Hadiah Langsung","662061462068830208","GilaPromoDotCom","2015-11-05 07:18:47","",""
"#indonesia #diskon Cinemaxx Theater Promo Hello November - Beli 2 Gratis 1","662061462056214528","GilaPromoDotCom","2015-11-05 07:18:47","",""
"#indonesia #diskon Alfamart Promo Minuman Hemat - Beli 1 Gratis 1 & Harga Spesial","662061462018486272","GilaPromoDotCom","2015-11-05 07:18:47","",""
"#indonesia #diskon Calais Tea Wednesday BIG Deal - Promo Beli 1 Gratis 1","662061461557104640","GilaPromoDotCom","2015-11-05 07:18:47","",""
"#indonesia #diskon Burger King Special Menu Hemat - Harga Spesial Hanya Rp. 22.727","662061461540311040","GilaPromoDotCom","2015-11-05 07:18:47","",""
"#diskon Wacoal November Special Promo - Diskon hingga 50%","662057497818243073","GilaPromoDotCom","2015-11-05 07:03:02","",""
"#diskon Home Solution Clearance Sale - Diskon Hingga 90%","662057497612713984","GilaPromoDotCom","2015-11-05 07:03:02","",""
"#diskon Erafone November Super Sale - Gebyar Diskon & Harga Spesial","662057497604304896","GilaPromoDotCom","2015-11-05 07:03:02","",""
"#diskon Lazada Pimp My House Super Sale - Diskon Hingga 90%","662057497591717888","GilaPromoDotCom","2015-11-05 07:03:02","",""
"#diskon Lazada Mega TV Sales - Diskon Hingga 55%","662057497310715905","GilaPromoDotCom","2015-11-05 07:03:02","",""
"#onlineonly #diskon Lazada Pimp My House Super Sale - Diskon Hingga 90%","661887564828303360","GilaPromoDotCom","2015-11-04 19:47:47","",""
"#onlineonly #diskon Lazada Mega TV Sales - Diskon Hingga 55%","661887564752752640","GilaPromoDotCom","2015-11-04 19:47:47","",""
"#onlineonly #diskon Wacoal November Special Promo - Diskon hingga 50%","661856933117341696","GilaPromoDotCom","2015-11-04 17:46:04","",""
"#diskon Telkomsel Superindo Promo Isi Ulang Pulsa - Gratis Hadiah Langsung","661849605160706048","GilaPromoDotCom","2015-11-04 17:16:57","",""
"#diskon Promo Spesial Travel Hemat - Diskon Rp. 80.000","661849604812599296","GilaPromoDotCom","2015-11-04 17:16:57","",""
"#diskon Ticktab Promo Travel Seru - Diskon Rp. 100.000","661838463260602370","GilaPromoDotCom","2015-11-04 16:32:40","",""
"#indonesia #diskon Wacoal November Special Promo - Diskon hingga 50%","661835199299342336","GilaPromoDotCom","2015-11-04 16:19:42","",""
"#indonesia #diskon Superindo Promo Dahsyat - Diskon Rp. 35.000","661834912429907968","GilaPromoDotCom","2015-11-04 16:18:34","",""
"#indonesia #diskon Telkomsel Superindo Promo Isi Ulang Pulsa - Gratis Hadiah Langsung","661834912157335553","GilaPromoDotCom","2015-11-04 16:18:34","",""
"#indonesia #diskon Home Solution Clearance Sale - Diskon Hingga 90%","661834912157335552","GilaPromoDotCom","2015-11-04 16:18:34","",""
"#indonesia #diskon Erafone November Super Sale - Gebyar Diskon & Harga Spesial","661834912140537857","GilaPromoDotCom","2015-11-04 16:18:34","",""
"#onlineonly #diskon Ticktab Promo Travel Seru - Diskon Rp. 100.000","661826912021532672","GilaPromoDotCom","2015-11-04 15:46:46","",""
"#onlineonly #diskon Promo Spesial Travel Hemat - Diskon Rp. 80.000","661826911593721860","GilaPromoDotCom","2015-11-04 15:46:46","",""
"#diskon LG Super Promo - Diskon Hingga Rp. 2.400.000","661796787779477504","GilaPromoDotCom","2015-11-04 13:47:04","",""
"#diskon Sony Xperia Erafone Special Deal - Harga Spesial Rp. 7.999.000","661796787762667520","GilaPromoDotCom","2015-11-04 13:47:04","",""
"#diskon Kopitiam Lucky Fest Promo - Gratis Voucher Rp. 50.000","661796787737468929","GilaPromoDotCom","2015-11-04 13:47:04","",""
"#diskon Shaga Active Wellnes Special November Sale - Diskon 50%","661796787506823168","GilaPromoDotCom","2015-11-04 13:47:04","",""
"#diskon McDonalds Promo Breakfast Wrap - Harga Spesial Mulai Dari Rp. 6.000","661796787284504576","GilaPromoDotCom","2015-11-04 13:47:04","",""
"#indonesia #diskon Sony Xperia Erafone Special Deal - Harga Spesial Rp. 7.999.000","661789255514103808","GilaPromoDotCom","2015-11-04 13:17:08","",""
"#indonesia #diskon LG Super Promo - Diskon Hingga Rp. 2.400.000","661789255484747776","GilaPromoDotCom","2015-11-04 13:17:08","",""
"#indonesia #diskon McDonalds Promo Breakfast Wrap - Harga Spesial Mulai Dari Rp. 6.000","661789255480549376","GilaPromoDotCom","2015-11-04 13:17:08","",""
"#diskon Blibli Shoes Super Sale - Diskon Hingga 70%","661758877638254592","GilaPromoDotCom","2015-11-04 11:16:25","",""
"#diskon KFC Promo Paket Ayodance - Harga Spesial Rp. 18.000 & Gratis Special Avatar","661758877432717312","GilaPromoDotCom","2015-11-04 11:16:25","",""
"#diskon Indomaret Promo Mandiri Ecash - Gratis Hadiah Langsung","661758877059428352","GilaPromoDotCom","2015-11-04 11:16:25","",""
"#diskon Jansport Special Sale - Diskon 30%","661758877059411968","GilaPromoDotCom","2015-11-04 11:16:25","",""
"#diskon Hush Puppies Men Collection Promo - Diskon 30%","661747416941621248","GilaPromoDotCom","2015-11-04 10:30:53","",""
"#diskon Blibli Promo Rabu Cantik Best Deal - Diskon Hingga 70%","661747416782274560","GilaPromoDotCom","2015-11-04 10:30:53","",""
"#diskon Blibli Promo Serbu Rabu - Diskon Hingga 73% & Ekstra Diskon Rp. 50.000","661747416769646592","GilaPromoDotCom","2015-11-04 10:30:53","",""
"#diskon Global APR Special Promo November - Cashback Rp. 1.000.000 & Gratis Hadiah","661747416685780992","GilaPromoDotCom","2015-11-04 10:30:53","",""
"#indonesia #diskon Hush Puppies Men Collection Promo - Diskon 30%","661743965520183298","GilaPromoDotCom","2015-11-04 10:17:10","",""
"#indonesia #diskon Indomaret Promo Mandiri Ecash - Gratis Hadiah Langsung","661743965255950336","GilaPromoDotCom","2015-11-04 10:17:10","",""
"#indonesia #diskon Global APR Special Promo November - Cashback Rp. 1.000.000 & Gratis Hadiah","661743964941348865","GilaPromoDotCom","2015-11-04 10:17:10","",""
"#indonesia #diskon Fun World Promo Spesial Novermber - Bonus Saldo Hingga Rp. 60.000","661743964928778240","GilaPromoDotCom","2015-11-04 10:17:10","",""
"#onlineonly #diskon Blibli Promo Rabu Cantik Best Deal - Diskon Hingga 70%","661736511998664704","GilaPromoDotCom","2015-11-04 09:47:33","",""
"#onlineonly #diskon Blibli Shoes Super Sale - Diskon Hingga 70%","661736511830904832","GilaPromoDotCom","2015-11-04 09:47:33","",""
"#onlineonly #diskon Blibli Promo Serbu Rabu - Diskon Hingga 73% & Ekstra Diskon Rp. 50.000","661736511822503936","GilaPromoDotCom","2015-11-04 09:47:33","",""
"#onlineonly #diskon Lazada Promo Gebyar Hari Ayah - Diskon Hingga 80%","661707411674300417","GilaPromoDotCom","2015-11-04 07:51:55","",""
"#indonesia #diskon Alfamart Promo Belanja Minyak Goreng - Harga Mulai Dari Rp. 20.900","661699269611646976","GilaPromoDotCom","2015-11-04 07:19:34","",""
"#indonesia #diskon Asus Erafone Promo Heboh - Diskon Rp. 300.000","661699269385129984","GilaPromoDotCom","2015-11-04 07:19:34","",""
"#indonesia #diskon Dominos Pizza Promo Menu Terbaru - Cheesy Bread Hanya Rp. 27.727","661699269133541378","GilaPromoDotCom","2015-11-04 07:19:34","",""
"#indonesia #diskon Lazada Promo Gebyar Hari Ayah - Diskon Hingga 80%","661699269125083136","GilaPromoDotCom","2015-11-04 07:19:34","",""
"#indonesia #diskon Matahari Department Store Clearance Sale - Beli 1 Gratis 1","661699269120929792","GilaPromoDotCom","2015-11-04 07:19:34","",""
"#diskon Wellcomm Shop Promo Spesial Aksesoris - Diskon 70%","661695644306944000","GilaPromoDotCom","2015-11-04 07:05:09","",""
"#diskon Danamon Sale - Extra Diskon + Gratis Hadiah","661695619673792512","GilaPromoDotCom","2015-11-04 07:05:04","",""
"#diskon Lazada Overseas Deal - Diskon hingga 80% + Gratis Ongkir","661695619673772032","GilaPromoDotCom","2015-11-04 07:05:04","",""
"#diskon Es Teler November Hemat - Harga Mulai Dari Rp. 22.000","661695619598327808","GilaPromoDotCom","2015-11-04 07:05:04","",""
"#diskon Global Teleshop Xiaomi Special Deal - Harga Spesial Rp. 282.000","661695619598311424","GilaPromoDotCom","2015-11-04 07:05:04","",""
"#onlineonly #diskon Danamon Sale - Extra Diskon + Gratis Hadiah","661524845365231616","GilaPromoDotCom","2015-11-03 19:46:28","",""
"#onlineonly #diskon Lazada Overseas Deal - Diskon hingga 80% + Gratis Ongkir","661524828206288897","GilaPromoDotCom","2015-11-03 19:46:24","",""
"#diskon Waterboom Jakarta Promo Spesial November - Diskon 50% & Beli 1 Dapat 3","661487227801870337","GilaPromoDotCom","2015-11-03 17:16:59","",""
"#diskon Share Tea Special Deal - Promo Beli 1 Gratis 1","661487227516645377","GilaPromoDotCom","2015-11-03 17:16:59","",""
"#indonesia #diskon Es Teler November Hemat - Harga Mulai Dari Rp. 22.000","661471990088384512","GilaPromoDotCom","2015-11-03 16:16:26","",""
"#indonesia #diskon Global Teleshop Xiaomi Special Deal - Harga Spesial Rp. 282.000","661471990046449668","GilaPromoDotCom","2015-11-03 16:16:26","",""
"#indonesia #diskon Wellcomm Shop Promo Spesial Aksesoris - Diskon 70%","661471989878640640","GilaPromoDotCom","2015-11-03 16:16:26","",""
"#indonesia #diskon Danamon Sale - Extra Diskon + Gratis Hadiah","661471989786365953","GilaPromoDotCom","2015-11-03 16:16:26","",""
"#indonesia #diskon Lazada Overseas Deal - Diskon hingga 80% + Gratis Ongkir","661471989715099648","GilaPromoDotCom","2015-11-03 16:16:26","",""
